android,*,2016,159534,263604445,243786,65409,356983,215164,60,3353,69308,22001,5878
android,*,2017,135611,187935974,173001,48034,304613,180403,60,336,65278,19056,5105
android,*,2018,107814,115834756,130406,31988,246228,134052,62,183602.5,54864,15309,4629
android,*,2019,85500,56666017,79645,17850,177898,99786,63,3322095,45806,12521,2957
android,*,2020,89301,23624519,50008,9699,139621,77638,70,33054,45905,10542,3662
android,keyboard,2016,325,362699,506,104,508,403,68,292,287,97,6
android,keyboard,2017,253,264227,340,74,434,298,70,36682,229,73,8
android,keyboard,2018,142,91978,173,31,273,164,70,428,126,39,9
android,keyboard,2019,110,30722,68,15,203,110,76,18072,101,24,1
android,keyboard,2020,112,16501,38,5,92,64,82,11351.5,99,20,4
ios,*,2016,84787,127754252,151662,41727,185185,115017,56,331,35097,12336,3134
ios,*,2017,66076,78860956,96806,26779,155684,84590,58,3320.5,30071,9818,2227
ios,*,2018,45218,39344490,49214,14002,106500,54406,58,333,22839,6792,1608
ios,*,2019,33024,24012933,40829,10440,71880,39215,59,3278.5,18633,5440,1005
ios,*,2020,34937,10532247,24180,5550,56426,31285,66,3226097.5,19289,4558,1089
ios,apple-push-notifications,2016,836,2047385,2548,794,1736,1101,61,1567609.5,727,290,20
ios,apple-push-notifications,2017,534,861441,994,311,1234,656,63,3176,486,181,9
ios,apple-push-notifications,2018,379,343366,441,113,748,388,69,34223,340,100,7
ios,apple-push-notifications,2019,254,192082,281,60,566,260,72,27949.5,240,67,2
ios,apple-push-notifications,2020,305,141850,267,58,428,236,74,1398706.5,271,70,6
ios,watchos-2,2016,181,111064,331,64,242,198,56,3128,135,48,8
ios,watchos-2,2017,17,12564,31,6,22,19,59,36494,14,5,0
ios,watchos,2016,51,31134,62,17,66,48,59,322,49,17,1
ios,watchos,2017,37,21668,67,15,36,37,57,24522,35,15,0
ios,watchos,2018,34,13684,39,10,58,19,79,3462708,31,7,0
ios,watchos,2019,41,17535,95,20,63,44,63,318348,38,14,0
ios,watchos,2020,93,40492,84,22,108,70,69,330,84,25,0
ios,objective-c,2016,18060,15600286,18795,5630,46562,25456,58,332154,8695,3408,707
ios,objective-c,2017,9849,7173209,9400,2722,26607,12759,60,328181,5201,1964,315
ios,objective-c,2018,3924,1754006,2447,801,9818,4491,60,329,2386,881,154
ios,objective-c,2019,1948,793297,1665,401,4489,2002,66,1796,1389,467,60
ios,objective-c,2020,2001,346720,930,212,3974,1556,73,3091,1351,345,65
ios,swift2,2016,2399,3860255,3661,1093,5331,3548,46,334,1440,849,112
ios,swift2,2017,239,343025,261,61,674,321,56,1794.5,167,96,6
ios,swift2,2018,19,20228,13,1,75,23,63,437,19,7,0
ios,cocoapods,2016,1029,3210390,4398,926,2045,1599,57,35252.5,883,386,25
ios,cocoapods,2017,656,1285902,1840,411,1451,819,62,2910,578,217,10
ios,cocoapods,2018,541,985824,1302,260,1198,753,63,3235,503,166,7
ios,cocoapods,2019,491,902230,1236,219,921,689,63,1596310,451,137,3
ios,cocoapods,2020,586,456424,713,176,750,563,72,370,499,128,6
android,android-layout,2016,6911,11788756,11595,3009,16482,11302,54,332,4917,2034,222
android,android-layout,2017,5567,8056102,7151,1995,12678,9123,53,33014369,4207,1607,167
android,android-layout,2018,4004,3372462,3517,1025,9567,6128,56,17465.5,3077,1167,162
android,android-layout,2019,2753,1244695,2036,461,5736,4083,56,3261.5,2153,829,79
android,android-layout,2020,2881,518546,1262,268,4563,3179,63,3351,2121,680,111
android,android-fragments,2016,7066,9394115,6937,1950,17398,10222,56,33916,4765,1987,228
android,android-fragments,2017,5223,6149936,4141,1403,12203,7762,56,3372,3817,1501,204
android,android-fragments,2018,3258,2575393,2441,633,8097,4322,59,35057333,2459,947,148
android,android-fragments,2019,2422,1399339,2253,551,5283,3143,60,16709,1887,728,65
android,android-fragments,2020,2908,680531,1421,304,4733,2792,65,18284,2136,649,99
android,android-activity,2016,2579,2979817,2287,627,7070,4074,57,324,2158,837,118
android,android-activity,2017,1870,2114453,1411,533,4888,3095,57,319,1617,637,76
android,android-activity,2018,1356,698604,665,254,3588,1976,59,1644560.5,1187,435,63
android,android-activity,2019,1025,367234,506,167,2461,1465,57,2964,922,364,40
android,android-activity,2020,1020,173672,473,89,1985,1095,64,1824.5,830,278,52
android,gridview,2016,727,752648,696,243,1469,852,62,3222,597,248,16
android,gridview,2017,508,238042,120,67,1031,658,55,3573,419,203,10
android,gridview,2018,247,61656,42,20,695,285,62,143422,211,89,11
android,gridview,2019,95,28260,17,5,200,106,63,301041,91,34,4
android,gridview,2020,103,7864,10,3,147,103,66,3412,92,31,3
android,push-notification,2016,978,1980635,1808,504,2065,1241,64,183727.5,862,296,26
android,push-notification,2017,871,1494927,1230,336,1996,1028,68,333121,774,242,23
android,push-notification,2018,639,824096,890,257,1329,687,72,3310,575,170,25
android,push-notification,2019,477,349118,493,148,905,476,73,323631,435,117,12
android,push-notification,2020,496,160605,321,66,653,340,79,186904,438,99,11
android,google-cloud-messaging,2016,1211,2443568,2492,724,2632,1568,66,37345,1018,320,39
android,google-cloud-messaging,2017,289,401093,411,107,658,315,72,179238.5,264,57,7
android,google-cloud-messaging,2018,136,102638,163,35,308,117,68,339144,124,40,7
android,google-cloud-messaging,2019,46,25767,50,8,97,37,80,578,46,9,1
android,google-cloud-messaging,2020,16,2515,6,3,26,14,69,15285,16,5,1
android,google-developers-console,2016,40,227837,194,40,60,77,50,2056036.5,39,20,2
android,google-developers-console,2017,61,95712,90,28,135,72,69,3415,61,19,3
android,google-developers-console,2018,48,53776,104,22,72,61,65,23967161,45,16,0
android,google-developers-console,2019,48,42616,128,13,108,52,67,150123.5,42,15,0
android,google-developers-console,2020,37,97482,130,29,92,63,78,222369.5,33,7,1
android,android-dialogfragment,2016,242,409014,380,87,551,350,55,352,216,108,7
android,android-dialogfragment,2017,155,260340,247,63,290,237,48,168337,140,77,2
android,android-dialogfragment,2018,103,82619,102,18,274,144,59,12128.5,95,41,1
android,android-dialogfragment,2019,129,89556,133,25,276,161,51,32389,110,62,1
android,android-dialogfragment,2020,138,31207,104,17,185,133,63,3952,111,41,4
android,java,2016,33397,44280029,34875,9814,84143,46153,56,33233,19710,7323,2091
android,java,2017,30550,31669192,21690,7755,76931,42119,57,338,19211,6514,1896
android,java,2018,25113,18300301,15632,5016,63713,32424,57,185469,15981,5204,1771
android,java,2019,21410,9032631,10790,2863,47713,25510,61,1865.5,13965,4299,1227
android,java,2020,21972,3695551,7908,1735,40523,20269,66,32822,13006,3519,1610
android,material-design,2016,837,2703062,2759,783,1522,1358,55,3402.5,719,308,28
android,material-design,2017,360,931089,989,288,680,588,58,2895,317,138,9
android,material-design,2018,347,1115341,1460,355,606,648,55,356,307,136,10
android,material-design,2019,423,593990,998,213,857,678,56,300,361,140,17
android,material-design,2020,492,188363,442,77,721,505,54,17374,400,145,16
android,floating-action-button,2016,379,840097,819,175,881,567,48,170644.5,343,174,7
android,floating-action-button,2017,250,533436,480,119,545,430,48,384,231,105,7
android,floating-action-button,2018,161,342660,315,68,346,267,47,30329,149,78,6
android,floating-action-button,2019,110,73717,127,28,218,168,54,317,99,45,4
android,floating-action-button,2020,133,24401,98,19,183,159,56,161650,114,37,4
android,json,2016,4178,5026639,1946,880,12510,6240,55,1872.5,3058,1374,220
android,json,2017,3310,3151135,512,568,9735,5118,55,1958.5,2525,1063,160
android,json,2018,1990,1042896,144,212,5659,2777,55,1788,1647,688,159
android,json,2019,1319,657444,497,143,3506,1833,55,16987,1093,490,47
android,json,2020,1101,191114,235,52,2190,1151,64,1786.5,906,326,60
android,youtube,2016,240,337915,394,139,324,264,70,351,219,72,3
android,youtube,2017,192,208269,185,53,318,191,71,17934902.5,170,55,1
android,youtube,2018,83,86328,58,28,135,88,72,3421,79,21,5
android,youtube,2019,48,22091,41,12,68,34,83,10628659.5,46,7,0
android,youtube,2020,64,13236,43,2,60,39,83,4757345,57,11,1
android,audio-player,2016,56,81610,58,30,77,64,71,294.5,49,16,1
android,audio-player,2017,46,92871,30,12,96,42,74,1041273.5,40,12,1
android,audio-player,2018,33,12151,19,3,63,35,73,2629,30,9,1
android,audio-player,2019,21,22002,21,10,47,29,86,25821,20,3,1
android,android-music-player,2016,72,94145,61,38,87,75,76,478,63,15,1
android,android-music-player,2017,76,63370,30,23,169,77,72,303,58,21,1
android,android-music-player,2018,42,20426,31,6,109,37,81,1921.5,34,8,1
android,android-music-player,2019,28,18375,19,13,50,29,64,112061,26,10,2
android,android-music-player,2020,27,5478,10,0,40,7,93,129883.5,22,2,0
ios,swift,2016,36248,65915823,67841,19538,82337,52678,50,333485,14802,6021,1670
ios,swift,2017,30188,37753419,40314,12285,77190,41512,52,33138,13557,4926,1258
ios,swift,2018,24947,19552993,21411,7233,64819,32573,53,333,11839,3805,1096
ios,swift,2019,19087,11638566,18432,5433,45476,24267,55,18293.5,10097,3128,725
ios,swift,2020,19347,4442524,10537,2841,35851,19423,59,32395,9873,2541,792
